ReviewId,mentions
5434,lemon
5434,apple
5434,lime
5442,apples
5445,strawberry
5445,cheese
5447,nutmeg
5450,turkey
5463,peas
5468,water
5479,eggs
5496,potatoes
5503,walnuts
5511,ginger
5514,vodka
5514,rum
5515,flour
5517,salt
5517,cloves
5517,potatoes
5517,garlic
5517,pepper
5532,sausage
5532,bacon
5537,pineapple
5539,turkey
5540,nutmeg
5540,butter
5541,cranberries
5548,rice
5550,lemon
5550,strawberry
5550,rhubarb
5550,strawberries
5550,apples
5550,raspberries
5562,artichokes
5562,water
5568,potatoes
5571,chocolate
5574,butter
5574,water
5575,butter
5575,fat
5575,tarragon
5575,rosemary
5575,marjoram
5575,thyme
5575,chicken
5586,coffee
5588,orange
5590,banana
5592,pumpkin
5595,sugar
5603,corn
5604,salmon
5615,cheese
5620,potatoes
5632,sugar
5633,chicken
5653,lemon
5655,cherries
5660,water
5661,potatoes
5666,chicken
5668,sugar
5673,coconut
5673,chocolate
5676,garlic
5676,cabbage
5676,horseradish
5676,mustard
5677,cheese
5683,pepper
5683,cheese
5683,fat
5684,sausage
5684,mustard
5696,chicken
5706,orange
5706,currants
5706,pepper
5710,pear
5710,chicken
5714,spinach
5714,oranges
5714,strawberries
5729,onions
5729,mustard
5730,marjoram
5731,sugar
5731,coconut
5732,beer
5734,garlic
5737,salmon
5738,beef
5738,chicken
5742,broccoli
5742,tomatoes
5745,chicken
5752,lettuce
5755,horseradish
5756,tomatoes
5757,cheese
5757,eggs
5757,fat
5757,egg
5757,butter
5758,broth
5758,sausage
5758,chicken
5765,potatoes
5765,rice
5765,pork
5770,cheese
5773,banana
5773,vanilla
5773,butter
5780,corn
5780,cheese
5785,bacon
5802,chicken
5804,chocolate
5821,garlic
5821,tomatoes
5825,sugar
5827,tuna
5829,cornmeal
5829,pepper
5838,mustard
5843,beef
5852,beer
5853,flour
5854,garlic
5855,beef
5871,yogurt
5871,fat
5889,bacon
5889,mustard
5904,sugar
5904,cinnamon
5904,ginger
5917,nutmeg
5917,vanilla
5921,onions
5927,potato
5937,butter
5938,apples
5943,pork
5951,chicken
5960,garlic
5960,cloves
5960,tomatoes
5964,milk
5964,water
5978,garlic
5978,pork
5999,pork
6003,garlic
6003,oregano
6014,apple
6018,butter
6024,milk
6024,tomatoes
6027,thyme
6027,herbs
6038,chocolate
6042,marshmallows
6048,rice
6054,amaretto
6055,pumpkin
6059,cherries
6062,lamb
6066,chicken
6080,garlic
6080,vinegar
6080,wine
6083,chocolate
6084,garlic
6084,cheese
6084,chicken
6095,rice
6097,water
6099,ginger
6100,apples
6101,milk
6101,coconut
6101,chicken
6103,salsa
6113,sugar
6116,chicken
6124,garlic
6136,chocolate
6141,sugar
6147,shortening
6147,vanilla
6147,butter
6148,sausage
6152,egg
6155,sake
6167,milk
6167,coffee
6167,chocolate
6168,orange
6187,beef
6190,carrots
6190,water
6198,potatoes
6198,pork
6204,garlic
6205,kahlua
6207,wine
6216,cheese
6218,salsa
6219,carrot
6222,pork
6227,fat
6236,mushrooms
6236,basil
6242,salt
6242,shrimp
6273,water
6288,basil
6289,butter
6289,chicken
6303,feta
6303,cheese
6303,pepper
6308,cheese
6308,butter
6310,cheese
6310,pasta
6311,butter
6311,coconut
6311,shortening
6311,chocolate
6313,chickpeas
6319,water
6381,garlic
6381,butter
6382,rice
6382,chicken
6399,pepper
6400,cranberries
6402,pumpkin
6406,bacon
6426,pumpkin
6434,vanilla
6435,pepper
6436,sausage
6444,rice
6444,fat
6446,salsa
6446,horseradish
6446,lettuce
6452,corn
6454,chicken
6455,asparagus
6455,mustard
6462,potatoes
6472,lemon
6477,peanuts
6477,turkey
6478,marshmallows
6480,marshmallows
6482,curry
6483,cornmeal
6483,flour
6486,pecans
6486,chocolate
6489,raisins
6489,cranberries
6492,rosemary
6492,thyme
6499,chocolate
6500,cheese
6502,greens
6511,chicken
6516,cheese
6516,sausage
6517,feta
6517,cheese
6517,salt
6520,sugar
6521,walnuts
6524,salsa
6525,banana
6525,bananas
6525,vanilla
6528,mustard
6532,corn
6533,cabbage
6536,cumin
6536,salsa
6548,chocolate
6548,butter
6553,beef
6553,lamb
6555,squash
6556,chocolate
6563,garlic
6563,ginger
6564,cheese
6564,bacon
6564,chives
6571,sausage
6571,chicken
6577,chocolate
6589,barley
6590,oatmeal
6598,salt
6598,garlic
6606,ham
6609,pecans
6609,chocolate
6619,celery
6619,cilantro
6621,curry
6621,rice
6638,rice
6638,chicken
6640,spaghetti
6650,chicken
6651,chocolate
6659,carrots
6660,butter
6663,pork
6663,applesauce
6665,salt
6665,garlic
6665,potatoes
6669,apple
6677,sugar
6677,vanilla
6677,butter
6678,sugar
6678,milk
6679,salt
6679,garlic
6679,cheese
6679,pepper
6686,cilantro
6686,salsa
6687,sugar
6688,chocolate
6690,lime
6702,broccoli
6703,chicken
6709,corn
6709,margarine
6723,shrimp
6723,vinegar
6723,wine
6723,capers
6729,sugar
6737,pepper
6741,wine
6749,cheese
6763,shrimp
6769,lettuce
6770,ginger
6770,pork
6772,butter
6773,beef
6775,salt
6775,pork
6775,fat
6775,onion
6775,peas
6775,garlic
6776,chicken
6777,carrots
6777,celery
6777,beef
6813,sugar
6813,corn
6813,water
6819,corn
6826,garlic
6827,onion
6827,rice
6835,sugar
6835,apples
6835,water
6863,lemon
6863,garlic
6870,cheese
6885,tomatoes
6895,banana
6895,walnuts
6903,cinnamon
6923,rice
6934,potato
6949,cheese
6975,sausage
6981,potato
6986,lemon
6987,corn
6990,tarragon
6997,onions
7005,mint
7015,ketchup
7031,sage
7035,potatoes
7044,zucchini
7044,mushroom
7045,lemon
7045,basil
7045,rosemary
7045,chicken
7050,garlic
7050,tomatoes
7057,chicken
7057,water
7058,garlic
7058,cloves
7060,orange
7060,chocolate
7082,cheese
7083,rice
7085,cheese
7091,ham
7095,peas
7119,yogurt
7119,rice
7119,beef
7119,lamb
7119,chicken
7125,fat
7125,cheese
7125,chicken
7131,carrots
7131,spinach
7134,mushroom
7134,onions
7134,chicken
7135,kale
7137,basil
7137,chicken
7140,onions
7142,mango
7144,cheese
7160,carrots
7178,ketchup
7190,cheese
7190,cinnamon
7209,onion
7215,tarragon
7215,onions
7216,cheese
7217,corn
7222,rice
7223,chicken
7231,broth
7231,onions
7238,paprika
7241,rosemary
7255,wine
7255,cilantro
7276,potatoes
7280,onions
7280,chicken
7281,mushroom
7281,margarine
7281,chicken
7291,broccoli
7291,cheese
7291,rice
7291,chicken
7295,chicken
7296,bacon
7296,pepper
7299,corn
7312,chocolate
7320,potatoes
7325,onions
7331,carrots
7331,onions
7331,ketchup
7335,cheese
7337,corn
7356,lemon
7356,chicken
7356,capers
7358,potatoes
7358,water
7360,mustard
7363,sugar
7363,butter
7364,wine
7365,broth
7365,chicken
7365,fat
7371,turkey
7373,corn
7373,garlic
7373,bacon
7373,pepper
7383,broccoli
7383,mayonnaise
7387,butter
7394,honey
7394,onions
7397,sugar
7397,carrots
7397,sausage
7397,fat
7408,cheese
7408,ham
7408,onions
7418,vanilla
7425,mushrooms
7425,rice
7430,cheese
7435,sultanas
7435,dates
7435,raisins
7438,cheese
7446,onion
7448,cheese
7448,chicken
7451,potato
7451,cheese
7451,bacon
7482,garlic
7482,oregano
7486,salt
7487,carrots
7487,celery
7500,eggplant
7540,garlic
7540,pepper
7541,ketchup
7543,tomatoes
7543,pepper
7545,chicken
7546,bacon
7546,rice
7549,garlic
7549,onion
7550,sugar
7550,vanilla
7553,broth
7560,feta
7560,spinach
7560,cheese
7560,water
7565,rice
7565,tomatoes
7570,cherries
7574,applesauce
7576,corn
7577,butter
7581,macaroni
7581,cheese
7585,butter
7586,cloves
7586,potato
7586,greens
7586,garlic
7586,honey
7588,chicken
7591,pecans
7610,mushroom
7610,pork
7612,tomatoes
7613,butter
7616,sausage
7618,ham
7620,spaghetti
7620,carrots
7620,celery
7626,garlic
7626,salsa
7630,carrot
7630,pasta
7635,potatoes
7635,peas
7641,basil
7652,lamb
7674,garlic
7674,cloves
7680,chocolate
7682,sugar
7682,water
7683,chicken
7691,onion
7692,salsa
7714,mustard
7715,chocolate
7743,potatoes
7748,chicken
7751,cheese
7754,pecans
7755,lemon
7755,lime
7755,couscous
7758,cheese
7758,chicken
7768,lemon
7768,lime
7794,garlic
7794,margarine
7794,chicken
7797,spinach
7814,lemon
7814,water
7833,potatoes
7835,rice
7838,calories
7838,fat
7838,mushroom
7838,mustard
7841,yogurt
7852,egg
7852,protein
7856,chocolate
7857,beer
7857,chocolate
7861,fat
7861,butter
7865,walnuts
7870,beer
7871,turkey
7871,mustard
7877,honey
7882,cheese
7905,orange
7905,ginger
7905,tomatoes
7905,chicken
7911,egg
7945,oranges
7946,lemon
7957,couscous
7962,cheese
7971,chicken
7974,potatoes
7978,cinnamon
7978,applesauce
7980,ham
7980,beef
7986,oregano
7986,cumin
7986,rice
7989,rice
7989,pasta
7990,salt
7990,lemon
7990,chicken
7990,pepper
7992,garlic
7992,buttermilk
7992,chicken
7999,mayonnaise
8002,potatoes
8002,avocados
8004,cinnamon
8010,pork
8010,applesauce
8018,tortillas
8018,chicken
8020,yogurt
8020,water
8020,fat
8021,rice
8021,pork
8024,coffee
8026,calories
8030,grapes
8041,polenta
8041,mushroom
8041,salsa
8041,water
8047,corn
8048,lime
8048,chicken
8049,molasses
8049,butter
8050,coconut
8050,oats
8059,basil
8059,parsley
8059,pork
8061,orange
8061,onion
8062,tomatoes
8069,chicken
8070,chocolate
8083,milk
8085,garlic
8086,honey
8091,garlic
